#RA DEC
1.811163558768142945e-01 3.458398818494010651e-01
3.895231510536358854e-01 1.466020453451065686e-01
5.933257212984811568e-01 9.638559437692515441e-01
5.244723686581163058e-01 4.264060527329776029e-01
4.142336395893887468e-01 8.142087382458695899e-01
6.919186161409438540e-01 2.020103967539610412e-01
5.079570400301399724e-01 2.353505954744060658e-01
2.264691745581441928e-01 4.666616243701309230e-01
1.446658612626905427e-02 5.155055197589971661e-01
6.921349936283368587e-01 2.606278300337133702e-01
